Марка;Ссылка;Цена в $;Цена в грн;Город
Audi Q8 2021S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1861131.html;100 494 $;2 785 534 грн;Запорожье
Audi e-tron Sportback 2021Edition One 55 E-CVT 95kWh (408 к.с.) Quattro;https://auto.ria.com/newauto/auto-audi-e-tron-sportback-1861090.html;102 411 $;2 838 673 грн;Запорожье
Audi e-tron 2021Advanced 95kWh (408 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-e-tron-1861072.html;101 037 $;2 800 602 грн;Запорожье
Audi SQ8 2021Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq8-1824568.html;175 160 $;4 839 201 грн;Киев
Audi e-tron 2021Advanced 95kWh (408 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-e-tron-1859194.html;89 996 $;2 486 348 грн;Одесса
Audi A4 2021Basis 40 TDI S-tronic (190 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a4-1859190.html;52 548 $;1 451 760 грн;Одесса
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1861001.html;150 469 $;4 181 230 грн;Днепр (Днепропетровск)
Audi Q8 2021Basis 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1861075.html;94 236 $;2 612 087 грн;Запорожье
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1859081.html;94 834 $;2 620 000 грн;Одесса
Audi Q8 2021Basis 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1861116.html;89 676 $;2 485 685 грн;Запорожье
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1861126.html;98 117 $;2 719 671 грн;Запорожье
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1860981.html;90 083 $;2 488 751 грн;Одесса
Audi A6 2021Basis 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a6-1858134.html;69 500 $;1 920 097 грн;Киев
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1860967.html;96 506 $;2 666 199 грн;Одесса
Audi Q7 2021Individual 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1861128.html;93 759 $;2 598 861 грн;Запорожье
Audi Q7 2021Basis 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1861140.html;84 765 $;2 349 572 грн;Запорожье
Audi Q7 2021Individual 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1861153.html;89 827 $;2 489 870 грн;Запорожье
Audi e-tron 2021Advanced 95kWh (408 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-e-tron-1838125.html;108 719 $;3 003 608 грн;Киев
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1850829.html;174 488 $;4 820 645 грн;Киев
Audi Q5 2021S-Line 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q5-1860768.html;71 921 $;1 986 976 грн;Киев
Audi A8 2021L 50 TDI Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a8-1834106.html;108 720 $;3 003 642 грн;Киев
Audi S8 2021Basis 4.0 TFSI Tiptronic (571 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-s8-1826368.html;217 440 $;6 007 284 грн;Киев
Audi RS6 20214.0 TFSI S-tronic (600 л.с.)  Quattro;https://auto.ria.com/newauto/auto-audi-rs6-1810400.html;177 777 $;4 911 499 грн;Киев
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1856719.html;241 599 $;6 674 726 грн;Киев
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1859935.html;91 802 $;2 536 242 грн;Одесса
Audi S6 2020Basis 3.0 TDI Tiptronic (349 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-s6-1851165.html;85 768 $;2 369 540 грн;Киев
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1857468.html;98 453 $;2 720 000 грн;Одесса
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1833749.html;174 488 $;4 820 645 грн;Киев
Audi e-tron 2021Advanced 95kWh (408 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-e-tron-1859593.html;96 618 $;2 669 303 грн;Киев
Audi RS7 2021S-Line Sportback 4.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs7-1853949.html;205 359 $;5 673 512 грн;Киев
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1836842.html;175 159 $;4 839 167 грн;Киев
Audi S8 2020Basis 4.0 TFSI Tiptronic (571 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-s8-1832523.html;229 519 $;6 340 988 грн;Киев
Audi Q5 2021Basis 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q5-1859594.html;73 129 $;2 020 350 грн;Киев
Audi e-tron Sportback 2021Edition One 55 E-CVT 95kWh (408 к.с.) Quattro;https://auto.ria.com/newauto/auto-audi-e-tron-sportback-1859068.html;121 480 $;3 356 169 грн;Киев
Audi A7 2021S-Line Sportback 45 TFSI S-tronic (245 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a7-1860291.html;83 621 $;2 310 234 грн;Киев
Audi RS7 2021S-Line Sportback 4.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs7-1856926.html;167 956 $;4 640 159 грн;Киев
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1860414.html;180 850 $;4 996 391 грн;Киев
Audi Q8 2021S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1860561.html;98 268 $;2 730 690 грн;Днепр (Днепропетровск)
Audi Q7 2021Basis 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1859576.html;85 814 $;2 370 808 грн;Одесса
Audi SQ8 2021Basis 4.0 TDI Tiptronic (435 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq8-1833736.html;174 488 $;4 820 645 грн;Киев
Audi R8 2020Basis 5.2i Performance S-tronic (610 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-r8-1835913.html;314 079 $;8 677 154 грн;Киев
Audi SQ7 2021Basis 4.0 TDI Tip-tronic (435 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq7-1819161.html;188 447 $;5 206 279 грн;Киев
Audi Q7 2021S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1859908.html;92 019 $;2 542 249 грн;Одесса
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1833746.html;202 943 $;5 606 765 грн;Киев
Audi RS Q8 2021Individual 4.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1831393.html;175 159 $;4 839 167 грн;Киев
Audi R8 2020Basis 5.2i Performance S-tronic (610 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-r8-1835912.html;283 879 $;7 842 809 грн;Киев
Audi A8 2021L 50 TDI Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a8-1858780.html;90 588 $;93 004 $;Днепр (Днепропетровск)
Audi Q7 2020S-Line 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1860456.html;98 531 $;2 722 134 грн;Киев
Audi Q5 2021S-Line 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q5-1860769.html;71 921 $;1 986 976 грн;Киев
Audi RS7 2021Plus 4.0 TFSI Tip-tronic (605 л.c.) Quattro Performance;https://auto.ria.com/newauto/auto-audi-rs7-1822063.html;193 279 $;5 339 774 грн;Киев
Audi Q5 2021Basis 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q5-1858487.html;80 377 $;2 220 592 грн;Киев
Audi RS Q8 20204.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1848561.html;187 240 $;5 172 939 грн;Одесса
Audi S8 2020Basis 4.0 TFSI Tiptronic (571 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-s8-1838895.html;223 479 $;6 174 119 грн;Киев
Audi R8 2020Basis 5.2i Performance S-tronic (610 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-r8-1835914.html;301 999 $;8 343 416 грн;Киев
Audi R8 2020Basis 5.2i Performance S-tronic (610 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-r8-1835908.html;289 919 $;8 009 678 грн;Киев
Audi RS Q8 20214.0 TFSI S-tronic (600 л.c.) Quattro;https://auto.ria.com/newauto/auto-audi-rs-q8-1833744.html;193 279 $;5 339 774 грн;Киев
Audi SQ7 2021Basis 4.0 TFSI Tip-tronic (507 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-sq7-1833751.html;157 039 $;4 338 560 грн;Киев
Audi Q5 2021Basis 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q5-1858480.html;83 351 $;2 302 759 грн;Киев
Audi A6 2020Basis 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a6-1856327.html;74 356 $;2 054 257 грн;Киев
Audi Q7 2020Basis 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q7-1854112.html;79 728 $;2 202 671 грн;Харьков
Audi e-tron Sportback 2021Base 50 E-CVT 71kWh (313 к.с.) Quattro;https://auto.ria.com/newauto/auto-audi-e-tron-sportback-1859998.html;85 931 $;2 374 045 грн;Харьков
Audi Q8 2021S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1860440.html;100 147 $;2 766 788 грн;Харьков
Audi A6 2020Sport 45 TFSI S-tronic (245 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a6-1846671.html;61 608 $;1 702 064 грн;Харьков
Audi A8 2021L 50 TDI Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-a8-1860966.html;86 976 $;2 402 913 грн;Харьков
Audi Q5 2020Basis 40 TDI S-tronic (204 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q5-1858454.html;73 688 $;2 035 802 грн;Харьков
Audi Q8 2021S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;https://auto.ria.com/newauto/auto-audi-q8-1856644.html;106 425 $;2 940 232 грн;Харьков
